"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@wak_iyoung @mkhumaini @prabowo @jokowi baca baik2 bro! sy bilang hari2 itu dipergilirkan. lalu sy sebut IN SYAA AL<U+2026> https://t.co/ykefeaFoPT",FALSE,0,"wak_iyoung","2018-04-16 04:59:44",TRUE,984760313055596544,985744528727408640,972819058037899264,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hanifyahyaasya1",0,FALSE,FALSE,NA,NA
"2","RT @ImronAA05: Buku Paradoks Indonesia yg ditulis @prabowo adalah Buku yang sudah beredar selama 2 tahun, dan tak satupun yg membantah isi<U+2026>",FALSE,0,NA,"2018-04-16 04:59:42",FALSE,NA,985744520514973696,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Kholiq871",12,TRUE,FALSE,NA,NA
"3","RT @kian_sensitive: Jika memang pada akhirnya @Gerindra dan @PKSejahtera berkoalisi, setujukah kalian jika kang @aheryawan bersanding denga<U+2026>",FALSE,0,NA,"2018-04-16 04:59:27",FALSE,NA,985744457629745152,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AspaMuh",101,TRUE,FALSE,NA,NA
"4","RT @DirmanIdaJateng: Selamat Pagi Sahabat.
Selamat beraktifitas.
Semoga Tuhan selalu melindungi n memberkati setiap langkah yang terniatkan<U+2026>",FALSE,0,NA,"2018-04-16 04:59:09",FALSE,NA,985744383797477376,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hendy_oktinal",5,TRUE,FALSE,NA,NA
"5","RT @Hilmi28: Walau Pak @prabowo sdh resmi diusung Gerindra utk jd Capres 2019, sy blm tentu mendukung &amp; mengajak jamaah sy utk memilih beli<U+2026>",FALSE,0,NA,"2018-04-16 04:59:06",FALSE,NA,985744368324624384,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nchy01",684,TRUE,FALSE,NA,NA
"6","RT @TeddyGusnaidi: Kalian mau gabung dengan @Prabowo silahkan, gak perlu pake laporan. 

Karena gak ada yang akan menahan kalian. Kasihan P<U+2026>",FALSE,0,NA,"2018-04-16 04:58:26",FALSE,NA,985744201039036416,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nayarakofif",3,TRUE,FALSE,NA,NA
"7","@jokowi @sbyudhoyono @prabowo

mantab @faizalassegaf sdh seharusnya setiap kekeliruan/kekurangan diluruskan/dikriti<U+2026> https://t.co/UAfAGYOAco",FALSE,0,"jokowi","2018-04-16 04:58:15",TRUE,NA,985744153995657216,366987179,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>","ndorobbs",0,FALSE,FALSE,NA,NA
"8","RT @SyifaSorayaZ12: @Rudibee7 @prabowo @Gerindra Jokowi juga kerjanya, pencitraan doang kali. Aslinya gak ada buktinya malah hutang banyak.<U+2026>",FALSE,0,NA,"2018-04-16 04:57:47",FALSE,NA,985744035821248512,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SyifaSorayaZ12",1,TRUE,FALSE,NA,NA
"9","@Rudibee7 @prabowo @Gerindra Jokowi juga kerjanya, pencitraan doang kali. Aslinya gak ada buktinya malah hutang ban<U+2026> https://t.co/ybYK3LyxfT",FALSE,1,"SyifaSorayaZ12","2018-04-16 04:57:38",TRUE,982271997685018624,985744000052154368,925656506388721664,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SyifaSorayaZ12",1,FALSE,FALSE,NA,NA
"10","RT @CintaNKRI12: Heboh bngt sampai Viral video Bpk @prabowo  yg telanjang Dada dan mencari yg tdk ada u Bully yaa Bongs dungu <ed><U+00A0><U+00BD><ed><U+00B8><U+0086> nah ini Yg<U+2026>",FALSE,0,NA,"2018-04-16 04:57:23",FALSE,NA,985743935959023616,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BanditPolitik",593,TRUE,FALSE,NA,NA
"11","RT @TeddyGusnaidi: Kalian mau gabung dengan @Prabowo silahkan, gak perlu pake laporan. 

Karena gak ada yang akan menahan kalian. Kasihan P<U+2026>",FALSE,0,NA,"2018-04-16 04:57:07",FALSE,NA,985743868762050560,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PadahalNggak",3,TRUE,FALSE,NA,NA
