id,permalink,timestamp,created_at,created_at_time,full_text_norm,full_text_clean,full_text,text_sentiment,user_id,user_name,screen_name,user_description,user_verified,user_created_at,user_followers_count,user_friends_count,user_statuses_count,user_favourites_count,user_listed_count,user_media_count,user_location,user_protected,user_link_url,user_profile_image_url,reply_count,retweet_count,like_count,quote_count,conversation_id,device,lang,media,mentions,hashtags,engagement,potential_reach,engagement_rate,place_type,place_name,bounding_box_type,bounding_box_coordinates
1233019366205083651,https://twitter.com/PakdeKoppig/status/1233019366205083651,1582809699,2020-02-27 20:21,20:21,Tim Komrah Cek Area Bekas Uji Coba Aspal Formula E: Tak Semulus yang Dinyatakan.,tim komrah cek area bekas uji coba aspal formula e tak mulus yang nyata,"Tim Komrah Cek Area Bekas Uji Coba Aspal Formula E: Tak Semulus yang Dinyatakan.

https://t.co/sV0RO80ZU7

#savemonassavejakarta #savemonas #FormulaE https://t.co/ht8wfZulxH",negative,980785851914334208,PakdeKoppig,Indonesia.pusaka #prayforindonesia,Cinta Tanah Air & Bela Negara,False,2018-04-02 19:35,365,508,2039,1838,0,0,Indonesia ,False,,https://pbs.twimg.com/profile_images/981592265729589248/hOMnq3CO_normal.jpg,0,1,0,0,1233019366205083651,Twitter for Android,in,"[{'type': 'photo', 'source': [{'preview_url': 'https://pbs.twimg.com/media/ERyQjf7VAAAOpQw?format=jpg&name=small', 'full_url': 'https://pbs.twimg.com/media/ERyQjf7VAAAOpQw?format=jpg&name=large'}, {'preview_url': 'https://pbs.twimg.com/media/ERyQkmSU8AALFlZ?format=jpg&name=small', 'full_url': 'https://pbs.twimg.com/media/ERyQkmSU8AALFlZ?format=jpg&name=large'}]}, {'type': 'video', 'source': []}, {'type': 'gif', 'source': []}]",[],"[{'text': '#savemonassavejakarta'}, {'text': '#savemonas'}, {'text': '#FormulaE'}]",1,366,0.00273224043715847,,,,[]
1231131582951350272,https://twitter.com/adprim59/status/1231131582951350272,1582359617,2020-02-22 15:20,15:20,: HENTIKAN Revitalisasi Monas dan kembalikan seperti semula sebagai paru paru Kota Jakarta. - Tandatangani Petisi!,henti revitalisasi monas dan kembali seperti mula bagai paru paru kota jakarta tandatangani petisi,@DKIJakarta @aniesbaswedan : HENTIKAN Revitalisasi Monas dan kembalikan seperti semula sebagai paru paru Kota Jakarta.  #SaveMonasSaveJakarta #JakartaButuhPohon - Tandatangani Petisi! https://t.co/5tjCASFzDD lewat @ChangeOrg_ID,neutral,762977275,adprim59,adi prima,,False,2012-08-17 11:21,3,109,147,36,0,0,,False,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,0,0,0,0,1231131582951350272,Twitter for Android,in,"[{'type': 'photo', 'source': []}, {'type': 'video', 'source': []}, {'type': 'gif', 'source': []}]","[{'text': '@DKIJakarta', 'display_name': 'Pemprov DKI Jakarta #VaksinDulu', 'id': 166014938}, {'text': '@aniesbaswedan', 'display_name': 'Anies Baswedan | Sudah #VaksinDulu', 'id': 110312278}, {'text': '@ChangeOrg_ID', 'display_name': 'Change.org Indonesia', 'id': 563483976}]","[{'text': '#SaveMonasSaveJakarta'}, {'text': '#JakartaButuhPohon'}]",0,3,0.0,,,,[]
1230830140294221824,https://twitter.com/adprim59/status/1230830140294221824,1582287747,2020-02-21 19:22,19:22,: HENTIKAN Revitalisasi Monas dan kembalikan seperti semula sebagai paru paru Kota Jakarta. - Tandatangani Petisi!,henti revitalisasi monas dan kembali seperti mula bagai paru paru kota jakarta tandatangani petisi,@DKIJakarta @aniesbaswedan : HENTIKAN Revitalisasi Monas dan kembalikan seperti semula sebagai paru paru Kota Jakarta.  #SaveMonasSaveJakarta #JakartaButuhPohon - Tandatangani Petisi! https://t.co/5tjCASFzDD lewat @ChangeOrg_ID,neutral,762977275,adprim59,adi prima,,False,2012-08-17 11:21,3,109,147,36,0,0,,False,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,0,0,0,0,1230830140294221824,Twitter for Android,in,"[{'type': 'photo', 'source': []}, {'type': 'video', 'source': []}, {'type': 'gif', 'source': []}]","[{'text': '@DKIJakarta', 'display_name': 'Pemprov DKI Jakarta #VaksinDulu', 'id': 166014938}, {'text': '@aniesbaswedan', 'display_name': 'Anies Baswedan | Sudah #VaksinDulu', 'id': 110312278}, {'text': '@ChangeOrg_ID', 'display_name': 'Change.org Indonesia', 'id': 563483976}]","[{'text': '#SaveMonasSaveJakarta'}, {'text': '#JakartaButuhPohon'}]",0,3,0.0,,,,[]
1230044859274158080,https://twitter.com/kasih_islam/status/1230044859274158080,1582100522,2020-02-19 15:22,15:22,Assalamualaikum Wr. Wb. Yuk kita sebarkan kebaikan dianatara kita,assalamualaikum wr wb yuk kita sebar baik dianatara kita,"Assalamualaikum Wr. Wb. 

Yuk kita sebarkan kebaikan dianatara kita   #rabuambyar #rabuambyar #rabuambyar #Islamcintakasih #hijrahcinta #islam #muslim #hadis #hadist #Pemudahijrah #Hijrah #Islam #rabuambyar #SaveMonasSaveJakarta  #bclsinclair #SpongebobSquarepants #STOPacaraILC https://t.co/EJmcDGavP4",positive,1194485684574179328,kasih_islam,Islam Cinta Kasih,,False,2019-11-13 12:22,4,4,50,2,0,0,,False,,https://pbs.twimg.com/profile_images/1194485917563506688/5a5ZYeaO_normal.jpg,0,0,0,0,1230044859274158080,Twitter Web App,in,"[{'type': 'photo', 'source': [{'preview_url': 'https://pbs.twimg.com/media/ERH_PVlUYAEwIbM?format=jpg&name=small', 'full_url': 'https://pbs.twimg.com/media/ERH_PVlUYAEwIbM?format=jpg&name=large'}]}, {'type': 'video', 'source': []}, {'type': 'gif', 'source': []}]",[],"[{'text': '#rabuambyar'}, {'text': '#rabuambyar'}, {'text': '#rabuambyar'}, {'text': '#Islamcintakasih'}, {'text': '#hijrahcinta'}, {'text': '#islam'}, {'text': '#muslim'}, {'text': '#hadis'}, {'text': '#hadist'}, {'text': '#Pemudahijrah'}, {'text': '#Hijrah'}, {'text': '#Islam'}, {'text': '#rabuambyar'}, {'text': '#SaveMonasSaveJakarta'}, {'text': '#bclsinclair'}, {'text': '#SpongebobSquarepants'}, {'text': '#STOPacaraILC'}]",0,4,0.0,,,,[]
1230044493782454272,https://twitter.com/kasih_islam/status/1230044493782454272,1582100435,2020-02-19 15:20,15:20,Assalamualaikum Wr. Wb. Yuk kita sebarkan kebaikan dianatara kita,assalamualaikum wr wb yuk kita sebar baik dianatara kita,"Assalamualaikum Wr. Wb. 

Yuk kita sebarkan kebaikan dianatara kita   #rabuambyar #rabuambyar #rabuambyar #Islamcintakasih #hijrahcinta #islam #muslim #hadis #hadist #Pemudahijrah #Hijrah #Islam #rabuambyar #SaveMonasSaveJakarta  #bclsinclair #SpongebobSquarepants #STOPacaraILC https://t.co/XxBPAOX7iZ",positive,1194485684574179328,kasih_islam,Islam Cinta Kasih,,False,2019-11-13 12:22,4,4,50,2,0,0,,False,,https://pbs.twimg.com/profile_images/1194485917563506688/5a5ZYeaO_normal.jpg,0,0,0,0,1230044493782454272,Twitter Web App,in,"[{'type': 'photo', 'source': [{'preview_url': 'https://pbs.twimg.com/media/ERH-6YLU8AAfZMO?format=jpg&name=small', 'full_url': 'https://pbs.twimg.com/media/ERH-6YLU8AAfZMO?format=jpg&name=large'}]}, {'type': 'video', 'source': []}, {'type': 'gif', 'source': []}]",[],"[{'text': '#rabuambyar'}, {'text': '#rabuambyar'}, {'text': '#rabuambyar'}, {'text': '#Islamcintakasih'}, {'text': '#hijrahcinta'}, {'text': '#islam'}, {'text': '#muslim'}, {'text': '#hadis'}, {'text': '#hadist'}, {'text': '#Pemudahijrah'}, {'text': '#Hijrah'}, {'text': '#Islam'}, {'text': '#rabuambyar'}, {'text': '#SaveMonasSaveJakarta'}, {'text': '#bclsinclair'}, {'text': '#SpongebobSquarepants'}, {'text': '#STOPacaraILC'}]",0,4,0.0,,,,[]
1230044387020689408,https://twitter.com/kasih_islam/status/1230044387020689408,1582100409,2020-02-19 15:20,15:20,Assalamualaikum Wr. Wb. Yuk kita sebarkan kebaikan dianatara kita,assalamualaikum wr wb yuk kita sebar baik dianatara kita,"Assalamualaikum Wr. Wb. 

Yuk kita sebarkan kebaikan dianatara kita   #rabuambyar #rabuambyar #rabuambyar #Islamcintakasih #hijrahcinta #islam #muslim #hadis #hadist #Pemudahijrah #Hijrah #Islam #rabuambyar #SaveMonasSaveJakarta  #bclsinclair #SpongebobSquarepants #STOPacaraILC https://t.co/AQu5UCb4aC",positive,1194485684574179328,kasih_islam,Islam Cinta Kasih,,False,2019-11-13 12:22,4,4,50,2,0,0,,False,,https://pbs.twimg.com/profile_images/1194485917563506688/5a5ZYeaO_normal.jpg,0,0,0,0,1230044387020689408,Twitter Web App,in,"[{'type': 'photo', 'source': [{'preview_url': 'https://pbs.twimg.com/media/ERH-0V1U8AEbbpr?format=jpg&name=small', 'full_url': 'https://pbs.twimg.com/media/ERH-0V1U8AEbbpr?format=jpg&name=large'}]}, {'type': 'video', 'source': []}, {'type': 'gif', 'source': []}]",[],"[{'text': '#rabuambyar'}, {'text': '#rabuambyar'}, {'text': '#rabuambyar'}, {'text': '#Islamcintakasih'}, {'text': '#hijrahcinta'}, {'text': '#islam'}, {'text': '#muslim'}, {'text': '#hadis'}, {'text': '#hadist'}, {'text': '#Pemudahijrah'}, {'text': '#Hijrah'}, {'text': '#Islam'}, {'text': '#rabuambyar'}, {'text': '#SaveMonasSaveJakarta'}, {'text': '#bclsinclair'}, {'text': '#SpongebobSquarepants'}, {'text': '#STOPacaraILC'}]",0,4,0.0,,,,[]
1229978501857435649,https://twitter.com/Adhi_Faiz/status/1229978501857435649,1582084701,2020-02-19 10:58,10:58,"Bersepedalah ke Kawasan Monas, &amp; lalu ke Balai Kota, untuk ubah kebijakan sesat sebelumnya, dengan perbaiki kerusakan &amp; kembalikan lagi areal pepohonan bagi serapan air/polusi di tengah Cc:",sepeda ke kawasan monas amp lalu ke balai kota untuk ubah bijak sesat belum dengan baik rusa amp kembali lagi areal pohon bagi serap air polusi di tengah cc,"Bersepedalah ke Kawasan Monas, &amp; lalu ke Balai Kota, untuk ubah kebijakan sesat sebelumnya, dengan perbaiki kerusakan &amp; kembalikan lagi areal pepohonan bagi serapan air/polusi di tengah @DKIJakarta, @aniesbaswedan! Cc: @KemensetnegRI @KemenLHK @Kemendagri_RI
#SaveMonasSaveJakarta https://t.co/vdWABgtLRY",negative,131439573,Adhi_Faiz,Tb. A. Adhi R. Faiz,"Advocate at Sudrajat, Ivon & Faiz Law Firm | National Procurement Expert | Lecturer at Faculty of Law-University of Pancasila | Trainer at SOE Training Programs",False,2010-04-10 15:00,1339,1368,27906,18699,3,3,"Jakarta, Indonesia",False,http://www.sif-law.com,https://pbs.twimg.com/profile_images/1432954566316724224/t6_Sl2J9_normal.jpg,0,0,0,0,1229978501857435649,Twitter for Android,in,"[{'type': 'photo', 'source': []}, {'type': 'video', 'source': []}, {'type': 'gif', 'source': []}]","[{'text': '@DKIJakarta', 'display_name': 'Pemprov DKI Jakarta #VaksinDulu', 'id': 166014938}, {'text': '@aniesbaswedan', 'display_name': 'Anies Baswedan | Sudah #VaksinDulu', 'id': 110312278}, {'text': '@KemensetnegRI', 'display_name': 'Sekretariat Negara', 'id': 3522129133}, {'text': '@KemenLHK', 'display_name': 'Min Env & Forestry', 'id': 3272268728}, {'text': '@Kemendagri_RI', 'display_name': 'KEMENDAGRI', 'id': 1489335858}]",[{'text': '#SaveMonasSaveJakarta'}],0,1339,0.0,,,,[]
1229340926742421504,https://twitter.com/Adhi_Faiz/status/1229340926742421504,1581932691,2020-02-17 16:44,16:44,"Menyesali kebodohan sendiri boleh, Oom Anies...mencari kambing hitam dari kebodohan itu ya jangan dong...susah memang kalau diri bukan negarawan dan cuma political animal ya, Oom?",sali bodoh sendiri boleh oom anies cari kambing hitam dari bodoh itu ya jangan dong susah memang kalau diri bukan negarawan dan cuma political animal ya oom,"Menyesali kebodohan sendiri boleh, Oom Anies...mencari kambing hitam dari kebodohan itu ya jangan dong...susah memang kalau diri bukan negarawan dan cuma political animal ya, Oom? 🙂
#SaveMonasSaveJakarta https://t.co/w7Q5TeMPKD",negative,131439573,Adhi_Faiz,Tb. A. Adhi R. Faiz,"Advocate at Sudrajat, Ivon & Faiz Law Firm | National Procurement Expert | Lecturer at Faculty of Law-University of Pancasila | Trainer at SOE Training Programs",False,2010-04-10 15:00,1339,1368,27906,18699,3,3,"Jakarta, Indonesia",False,http://www.sif-law.com,https://pbs.twimg.com/profile_images/1432954566316724224/t6_Sl2J9_normal.jpg,0,0,1,0,1229340926742421504,Twitter for Android,in,"[{'type': 'photo', 'source': []}, {'type': 'video', 'source': []}, {'type': 'gif', 'source': []}]",[],[{'text': '#SaveMonasSaveJakarta'}],1,1340,0.0007462686567164179,,,,[]
1228697368238800896,https://twitter.com/subagiobambang/status/1228697368238800896,1581779255,2020-02-15 22:07,22:07,: HENTIKAN Revitalisasi Monas dan kembalikan seperti semula sebagai paru paru Kota Jakarta. - Tandatangani Petisi!,henti revitalisasi monas dan kembali seperti mula bagai paru paru kota jakarta tandatangani petisi,@DKIJakarta @aniesbaswedan : HENTIKAN Revitalisasi Monas dan kembalikan seperti semula sebagai paru paru Kota Jakarta.  #SaveMonasSaveJakarta #JakartaButuhPohon - Tandatangani Petisi! https://t.co/FgHC8UqYRl lewat @ChangeOrg_ID,neutral,252446627,subagiobambang,subagio bambang,,False,2011-02-15 13:12,2,32,130,128,0,0,,False,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,0,0,0,0,1228697368238800896,Twitter for Android,in,"[{'type': 'photo', 'source': []}, {'type': 'video', 'source': []}, {'type': 'gif', 'source': []}]","[{'text': '@DKIJakarta', 'display_name': 'Pemprov DKI Jakarta #VaksinDulu', 'id': 166014938}, {'text': '@aniesbaswedan', 'display_name': 'Anies Baswedan | Sudah #VaksinDulu', 'id': 110312278}, {'text': '@ChangeOrg_ID', 'display_name': 'Change.org Indonesia', 'id': 563483976}]","[{'text': '#SaveMonasSaveJakarta'}, {'text': '#JakartaButuhPohon'}]",0,2,0.0,,,,[]
1227796080793772032,https://twitter.com/Adhi_Faiz/status/1227796080793772032,1581564371,2020-02-13 10:26,10:26,"Lho? Bohong dong??? Coba diteliti ulang &amp; keputusan tentu patut dikoreksi jika benar didasari pada kebohongan pada permohonan, Cc:",lho bohong dong coba teliti ulang amp putus tentu patut koreksi jika benar dasar pada bohong pada mohon cc,"Lho? Bohong dong??? Coba diteliti ulang &amp; keputusan tentu patut dikoreksi jika benar didasari pada kebohongan pada permohonan, @KemensetnegRI... 😯 Cc: @jokowi @Kiyai_MarufAmin @Kemendagri_RI @SitiNurbayaLHK
#SaveMonasSaveJakarta https://t.co/OErqyPGp6B",positive,131439573,Adhi_Faiz,Tb. A. Adhi R. Faiz,"Advocate at Sudrajat, Ivon & Faiz Law Firm | National Procurement Expert | Lecturer at Faculty of Law-University of Pancasila | Trainer at SOE Training Programs",False,2010-04-10 15:00,1339,1368,27906,18699,3,3,"Jakarta, Indonesia",False,http://www.sif-law.com,https://pbs.twimg.com/profile_images/1432954566316724224/t6_Sl2J9_normal.jpg,0,0,0,0,1227796080793772032,Twitter for Android,in,"[{'type': 'photo', 'source': []}, {'type': 'video', 'source': []}, {'type': 'gif', 'source': []}]","[{'text': '@KemensetnegRI', 'display_name': 'Sekretariat Negara', 'id': 3522129133}, {'text': '@jokowi', 'display_name': 'Joko Widodo', 'id': 366987179}, {'text': '@Kiyai_MarufAmin', 'display_name': ""KH. Ma'ruf Amin"", 'id': 1061147681832132609}, {'text': '@Kemendagri_RI', 'display_name': 'KEMENDAGRI', 'id': 1489335858}, {'text': '@SitiNurbayaLHK', 'display_name': 'Siti Nurbaya Bakar', 'id': 3777980532}]",[{'text': '#SaveMonasSaveJakarta'}],0,1339,0.0,,,,[]
