Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree,pageranks,modularity_class,eigencentrality,componentnumber
user_name,user_name,,1,1,1,0,1,0,0,0.000419,0
mention,mention,,1,1,1,0,1,0,0,0.000419,0
adprim59,adprim59,,6,0.310159,0.332113,16.209078,3,0,16,0.076724,0
DKIJakarta,DKIJakarta,,5,0.402613,0.465145,67001.990124,152,0.00998,16,0.737511,0
aniesbaswedan,aniesbaswedan,,5,0.436861,0.511849,178529.410705,218,0.014816,16,1,0
ChangeOrg_ID,ChangeOrg_ID,,6,0.287731,0.336403,5255.792043,95,0.001077,16,0.293696,0
Adhi_Faiz,Adhi_Faiz,,5,0.322071,0.347195,7462.572323,12,0.001771,16,0.102056,0
KemensetnegRI,KemensetnegRI,,5,0.383502,0.423069,23701.556792,62,0.010559,3,0.462535,0
KemenLHK,KemenLHK,,6,0.243656,0.253862,0,1,0,16,0.004019,0
Kemendagri_RI,Kemendagri_RI,,6,0.247479,0.258314,7.484391,2,0,16,0.005695,0
subagiobambang,subagiobambang,,6,0.310159,0.332113,16.209078,3,0,16,0.076724,0
jokowi,jokowi,,5,0.376314,0.411119,23089.80244,44,0.008261,3,0.375784,0
Kiyai_MarufAmin,Kiyai_MarufAmin,,6,0.243656,0.253862,0,1,0,16,0.004019,0
SitiNurbayaLHK,SitiNurbayaLHK,,6,0.243656,0.253862,0,1,0,16,0.004019,0
Wie_Leong02,Wie_Leong02,,6,0.310014,0.331925,1326.220623,3,0,16,0.065228,0
Change,Change,,7,0.236692,0.246146,0,1,0,16,0.002603,0
sigitwid,sigitwid,,5,0.358399,0.384013,13361.087793,17,0.002337,16,0.139474,0
psi_id,psi_id,,6,0.263944,0.273899,0,2,0,16,0.008716,0
PSI_Jakarta,PSI_Jakarta,,6,0.263944,0.273899,0,2,0,16,0.008716,0
willsarana,willsarana,,6,0.263997,0.274025,1324,2,0,16,0.005777,0
dprddkijakarta,dprddkijakarta,,5,0.347769,0.374277,3366.462211,19,0.004284,16,0.185084,0
tribunnews,tribunnews,,6,0.339569,0.363937,848.593956,14,0.004123,24,0.177856,0
haefaazhar,haefaazhar,,6,0.310159,0.332113,16.209078,3,0,16,0.076724,0
ashleyanetta,ashleyanetta,,6,0.310159,0.332113,16.209078,3,0,16,0.076724,0
dca_doank,dca_doank,,6,0.310159,0.332113,16.209078,3,0,16,0.076724,0
MulyadiMade,MulyadiMade,,7,0.222427,0.229998,0,1,0,4,0.001342,0
Dennysiregar7,Dennysiregar7,,6,0.285992,0.303157,1696.323164,5,0,4,0.024259,0
blankedmania,blankedmania,,6,0.310159,0.332113,16.209078,3,0,16,0.076724,0
Satriapradipa,Satriapradipa,,6,0.310159,0.332113,16.209078,3,0,16,0.076724,0
Uki23,Uki23,,6,0.304108,0.325409,0,1,0,16,0.037435,0
saramishella,saramishella,,6,0.310159,0.332113,16.209078,3,0,16,0.076724,0
tonikenpachi,tonikenpachi,,6,0.310159,0.332113,16.209078,3,0,16,0.076724,0
dhammaratano,dhammaratano,,5,0.32168,0.344453,3508.525557,7,0,4,0.085129,0
KSPgoid,KSPgoid,,6,0.243432,0.252906,0,1,0,4,0.003342,0
WalhiDkijakarta,WalhiDkijakarta,,6,0.243432,0.252906,0,1,0,4,0.003342,0
eko_kuntadhi,eko_kuntadhi,,6,0.326757,0.353245,7267.501328,19,0.003519,4,0.118407,0
Bay__7Sam,Bay__7Sam,,6,0.310159,0.332113,16.209078,3,0,16,0.076724,0
zahracross,zahracross,,6,0.310159,0.332113,16.209078,3,0,16,0.076724,0
tehyeye,tehyeye,,6,0.310159,0.332113,16.209078,3,0,16,0.076724,0
godham5,godham5,,6,0.289049,0.305371,1404.242264,5,0,7,0.032274,0
dady_suryady,dady_suryady,,7,0.224272,0.231574,0,1,0,7,0.001539,0
spiderr__matrix,spiderr__matrix,,6,0.296952,0.311157,337.523076,6,0,19,0.031864,0
musniumar,musniumar,,6,0.243656,0.253862,0,1,0,16,0.004019,0
jhaone_nate,jhaone_nate,,6,0.310159,0.332113,16.209078,3,0,16,0.076724,0
ada_solusi,ada_solusi,,7,0.246328,0.256649,0,1,0,4,0.004658,0
idris_ahmad1,idris_ahmad1,,6,0.264102,0.274214,1089.109856,2,0,16,0.005878,0
JustinPsi,JustinPsi,,6,0.263892,0.273522,0,1,0,16,0.005351,0
campur_campur,campur_campur,,7,0.259397,0.269416,0,1,0,3,0.008668,0
detikcom,detikcom,,6,0.350159,0.377031,6283.782084,23,0.005335,3,0.245799,0
21Mted,21Mted,,5,0.375673,0.413208,39676.740107,61,0.006701,7,0.286981,0
hutomojdp,hutomojdp,,7,0.252045,0.263084,94.316161,3,0,19,0.005638,0
ApriliaLin,ApriliaLin,,6,0.277255,0.28717,311.621401,2,0,19,0.008102,0
prilcila,prilcila,,6,0.293077,0.310201,426.679911,2,0,24,0.024005,0
rrdewok,rrdewok,,6,0.257182,0.268352,43.358126,2,0,1,0.005969,0
elHurryKoRn,elHurryKoRn,,6,0.274441,0.287371,174.954085,2,0,7,0.011976,0
Aveiro11857196,Aveiro11857196,,6,0.304528,0.326918,3969,4,0,16,0.038815,0
rockygerung,rockygerung,,7,0.23348,0.243139,0,1,0,16,0.001776,0
OnlyAnnisa,OnlyAnnisa,,7,0.23348,0.243139,0,1,0,16,0.001776,0
desyolandaa,desyolandaa,,7,0.23348,0.243139,0,1,0,16,0.001776,0
imammustofa87,imammustofa87,,5,0.350159,0.370264,2132.542457,7,0,3,0.105324,0
RizmaWidiono,RizmaWidiono,,5,0.375035,0.417119,44893.68447,77,0.008448,1,0.393913,0
KPK_RI,KPK_RI,,6,0.301205,0.319195,928.014859,9,0,16,0.058194,0
mantrikicau,mantrikicau,,6,0.294641,0.310679,6.457765,2,0,4,0.033181,0
Bangzul__88,Bangzul__88,,5,0.389134,0.436428,41950.790979,87,0.016466,3,0.618403,0
SmarsGuitar,SmarsGuitar,,6,0.288545,0.308214,1352.366316,3,0,1,0.029695,0
AlberaD5,AlberaD5,,7,0.223969,0.232757,0,1,0,1,0.001428,0
_antaresh,_antaresh,,6,0.308786,0.326591,286.639257,4,0,1,0.045417,0
donys168,donys168,,6,0.313684,0.334692,46.13784,2,0,3,0.050805,0
DivHumas_Polri,DivHumas_Polri,,6,0.243835,0.254868,19.149777,3,0,3,0.007014,0
PujieMinoritas,PujieMinoritas,,6,0.280186,0.297535,2062.269707,7,0,3,0.024737,0
Aryprasetyo85,Aryprasetyo85,,5,0.350808,0.378528,13052.094265,22,0.004047,3,0.157737,0
My_LoveNebe,My_LoveNebe,,6,0.273647,0.287094,139.57407,4,0,3,0.017096,0
cintada17,cintada17,,6,0.297419,0.311585,349.482029,5,0,19,0.022629,0
AlvinoLulu,AlvinoLulu,,7,0.2189,0.226625,0,1,0,3,0.001389,0
tvOneNews,tvOneNews,,6,0.250757,0.261686,15.387477,2,0,3,0.004518,0
ILCtv1,ILCtv1,,6,0.250757,0.261686,15.387477,2,0,3,0.004518,0
KefSedd,KefSedd,,5,0.325953,0.351346,3345.639085,11,0.002141,3,0.080544,0
oemtjsoe,oemtjsoe,,6,0.312721,0.33395,1316.446687,3,0,3,0.04035,0
DavidWijaya82,DavidWijaya82,,6,0.313387,0.333987,523.166305,6,0,24,0.052919,0
basuki_btp,basuki_btp,,6,0.256783,0.266767,1330.545646,3,0,3,0.004583,0
3hamdih,3hamdih,,5,0.327403,0.350767,640.984353,8,0,19,0.08408,0
BiLLRaY2019,BiLLRaY2019,,6,0.355228,0.379396,2945.969071,16,0.00416,4,0.161457,0
MTuhasan,MTuhasan,,6,0.329193,0.350956,7130.398798,20,0.002944,19,0.108229,0
yayansandra12,yayansandra12,,5,0.332747,0.355509,601.229428,7,0,16,0.102285,0
and1deRis,and1deRis,,6,0.295891,0.311434,1359.827788,5,0,3,0.046553,0
James_Aibon,James_Aibon,,5,0.366123,0.393862,8370.171599,24,0.005533,4,0.20646,0
ojong1945,ojong1945,,6,0.268056,0.278189,0,1,0,4,0.007567,0
CNNIDdaily,CNNIDdaily,,6,0.326033,0.350704,340.845956,12,0.003799,3,0.15993,0
DTanjung15,DTanjung15,,6,0.27633,0.287145,22.005786,2,0,4,0.012082,0
bhenytarika28,bhenytarika28,,6,0.292753,0.305585,32.946466,5,0,2,0.035275,0
Byy_wislert,Byy_wislert,,6,0.268056,0.278189,0,1,0,4,0.007567,0
Paltiwest,Paltiwest,,6,0.337236,0.365082,924.98739,15,0.004311,3,0.195978,0
Zaenalalternat1,Zaenalalternat1,,6,0.314503,0.336792,279.549003,10,0.003366,1,0.114954,0
ttobing,ttobing,,6,0.342554,0.36317,4625.528598,13,0.0038,4,0.100155,0
Bambali_Im,Bambali_Im,,5,0.380092,0.408629,12765.797312,28,0.005764,3,0.278133,0
RiWabatik,RiWabatik,,6,0.326033,0.350704,340.845956,12,0.003799,3,0.15993,0
