Source,Target,Type,Id,Label,timeset,Weight
user_name,mention,Undirected,0,,,1
adprim59,DKIJakarta,Undirected,1,,,1
adprim59,aniesbaswedan,Undirected,2,,,1
adprim59,ChangeOrg_ID,Undirected,3,,,1
Adhi_Faiz,DKIJakarta,Undirected,4,,,6
Adhi_Faiz,aniesbaswedan,Undirected,5,,,5
Adhi_Faiz,KemensetnegRI,Undirected,6,,,3
Adhi_Faiz,KemenLHK,Undirected,7,,,2
Adhi_Faiz,Kemendagri_RI,Undirected,8,,,3
subagiobambang,DKIJakarta,Undirected,9,,,1
subagiobambang,aniesbaswedan,Undirected,10,,,1
subagiobambang,ChangeOrg_ID,Undirected,11,,,1
Adhi_Faiz,jokowi,Undirected,13,,,1
Adhi_Faiz,Kiyai_MarufAmin,Undirected,14,,,1
Adhi_Faiz,SitiNurbayaLHK,Undirected,16,,,1
Wie_Leong02,DKIJakarta,Undirected,17,,,2
Wie_Leong02,aniesbaswedan,Undirected,18,,,2
Wie_Leong02,Change,Undirected,19,,,2
sigitwid,psi_id,Undirected,20,,,10
sigitwid,PSI_Jakarta,Undirected,21,,,19
sigitwid,willsarana,Undirected,22,,,5
sigitwid,dprddkijakarta,Undirected,23,,,17
sigitwid,DKIJakarta,Undirected,24,,,21
sigitwid,aniesbaswedan,Undirected,25,,,23
sigitwid,tribunnews,Undirected,26,,,2
haefaazhar,DKIJakarta,Undirected,27,,,1
haefaazhar,aniesbaswedan,Undirected,28,,,1
haefaazhar,ChangeOrg_ID,Undirected,29,,,1
ashleyanetta,DKIJakarta,Undirected,36,,,1
ashleyanetta,aniesbaswedan,Undirected,37,,,1
ashleyanetta,ChangeOrg_ID,Undirected,38,,,1
dca_doank,DKIJakarta,Undirected,39,,,1
dca_doank,aniesbaswedan,Undirected,40,,,1
dca_doank,ChangeOrg_ID,Undirected,41,,,1
MulyadiMade,Dennysiregar7,Undirected,78,,,1
blankedmania,DKIJakarta,Undirected,79,,,1
blankedmania,aniesbaswedan,Undirected,80,,,1
blankedmania,ChangeOrg_ID,Undirected,81,,,1
Satriapradipa,DKIJakarta,Undirected,82,,,1
Satriapradipa,aniesbaswedan,Undirected,83,,,1
Satriapradipa,ChangeOrg_ID,Undirected,84,,,1
Uki23,aniesbaswedan,Undirected,85,,,1
saramishella,DKIJakarta,Undirected,87,,,1
saramishella,aniesbaswedan,Undirected,88,,,1
saramishella,ChangeOrg_ID,Undirected,89,,,1
tonikenpachi,DKIJakarta,Undirected,90,,,1
tonikenpachi,aniesbaswedan,Undirected,91,,,1
tonikenpachi,ChangeOrg_ID,Undirected,92,,,1
dhammaratano,aniesbaswedan,Undirected,93,,,1
dhammaratano,DKIJakarta,Undirected,94,,,1
dhammaratano,KSPgoid,Undirected,95,,,1
dhammaratano,WalhiDkijakarta,Undirected,96,,,1
dhammaratano,eko_kuntadhi,Undirected,97,,,1
dhammaratano,Dennysiregar7,Undirected,98,,,1
dhammaratano,jokowi,Undirected,99,,,1
Bay__7Sam,DKIJakarta,Undirected,100,,,1
Bay__7Sam,aniesbaswedan,Undirected,101,,,1
Bay__7Sam,ChangeOrg_ID,Undirected,102,,,1
zahracross,DKIJakarta,Undirected,103,,,1
zahracross,aniesbaswedan,Undirected,104,,,1
zahracross,ChangeOrg_ID,Undirected,105,,,1
tehyeye,DKIJakarta,Undirected,106,,,1
tehyeye,aniesbaswedan,Undirected,107,,,1
tehyeye,ChangeOrg_ID,Undirected,108,,,1
