user_name,mention
adprim59,DKIJakarta
adprim59,aniesbaswedan
adprim59,ChangeOrg_ID
Adhi_Faiz,DKIJakarta
Adhi_Faiz,aniesbaswedan
Adhi_Faiz,KemensetnegRI
Adhi_Faiz,KemenLHK
Adhi_Faiz,Kemendagri_RI
subagiobambang,DKIJakarta
subagiobambang,aniesbaswedan
subagiobambang,ChangeOrg_ID
Adhi_Faiz,KemensetnegRI
Adhi_Faiz,jokowi
Adhi_Faiz,Kiyai_MarufAmin
Adhi_Faiz,Kemendagri_RI
Adhi_Faiz,SitiNurbayaLHK
Wie_Leong02,DKIJakarta
Wie_Leong02,aniesbaswedan
Wie_Leong02,Change
sigitwid,psi_id
sigitwid,PSI_Jakarta
sigitwid,willsarana
sigitwid,dprddkijakarta
sigitwid,DKIJakarta
sigitwid,aniesbaswedan
sigitwid,tribunnews
haefaazhar,DKIJakarta
haefaazhar,aniesbaswedan
haefaazhar,ChangeOrg_ID
sigitwid,willsarana
sigitwid,aniesbaswedan
sigitwid,psi_id
sigitwid,PSI_Jakarta
sigitwid,DKIJakarta
sigitwid,dprddkijakarta
ashleyanetta,DKIJakarta
ashleyanetta,aniesbaswedan
ashleyanetta,ChangeOrg_ID
dca_doank,DKIJakarta
dca_doank,aniesbaswedan
dca_doank,ChangeOrg_ID
Wie_Leong02,DKIJakarta
Wie_Leong02,aniesbaswedan
Wie_Leong02,Change
sigitwid,DKIJakarta
sigitwid,PSI_Jakarta
sigitwid,dprddkijakarta
sigitwid,aniesbaswedan
sigitwid,aniesbaswedan
sigitwid,PSI_Jakarta
sigitwid,dprddkijakarta
sigitwid,DKIJakarta
sigitwid,PSI_Jakarta
sigitwid,dprddkijakarta
sigitwid,DKIJakarta
sigitwid,aniesbaswedan
sigitwid,PSI_Jakarta
sigitwid,dprddkijakarta
sigitwid,DKIJakarta
sigitwid,aniesbaswedan
sigitwid,PSI_Jakarta
sigitwid,dprddkijakarta
sigitwid,DKIJakarta
sigitwid,aniesbaswedan
sigitwid,DKIJakarta
sigitwid,PSI_Jakarta
sigitwid,dprddkijakarta
sigitwid,DKIJakarta
sigitwid,aniesbaswedan
sigitwid,PSI_Jakarta
sigitwid,dprddkijakarta
sigitwid,DKIJakarta
sigitwid,aniesbaswedan
sigitwid,DKIJakarta
sigitwid,PSI_Jakarta
sigitwid,dprddkijakarta
sigitwid,aniesbaswedan
MulyadiMade,Dennysiregar7
blankedmania,DKIJakarta
blankedmania,aniesbaswedan
blankedmania,ChangeOrg_ID
Satriapradipa,DKIJakarta
Satriapradipa,aniesbaswedan
Satriapradipa,ChangeOrg_ID
Uki23,aniesbaswedan
sigitwid,aniesbaswedan
saramishella,DKIJakarta
saramishella,aniesbaswedan
saramishella,ChangeOrg_ID
tonikenpachi,DKIJakarta
tonikenpachi,aniesbaswedan
tonikenpachi,ChangeOrg_ID
dhammaratano,aniesbaswedan
dhammaratano,DKIJakarta
dhammaratano,KSPgoid
dhammaratano,WalhiDkijakarta
dhammaratano,eko_kuntadhi
dhammaratano,Dennysiregar7
dhammaratano,jokowi
Bay__7Sam,DKIJakarta
Bay__7Sam,aniesbaswedan
Bay__7Sam,ChangeOrg_ID
zahracross,DKIJakarta
zahracross,aniesbaswedan
zahracross,ChangeOrg_ID
tehyeye,DKIJakarta
tehyeye,aniesbaswedan
tehyeye,ChangeOrg_ID
godham5,dady_suryady
Adhi_Faiz,spiderr__matrix
Adhi_Faiz,musniumar
Adhi_Faiz,DKIJakarta
jhaone_nate,DKIJakarta
jhaone_nate,aniesbaswedan
jhaone_nate,ChangeOrg_ID
