"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","person"
"1","RT @faizalassegaf: Selama tiga tahun lebih saya &amp; @progres_98 hajar pak @jokowi dgn kritikan keras, hasilnya kami berkesimpulan:

1. JKW pr<U+2026>",FALSE,0,NA,2018-04-16 04:58:20,FALSE,NA,"985744175789326336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","positron45",524,TRUE,FALSE,NA,NA,"Jokowi"
"2","RT @faizalassegaf: Selama tiga tahun lebih saya &amp; @progres_98 hajar pak @jokowi dgn kritikan keras, hasilnya kami berkesimpulan:

1. JKW pr<U+2026>",FALSE,0,NA,2018-04-16 04:58:16,FALSE,NA,"985744158571638784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","subhanpamungkas",524,TRUE,FALSE,NA,NA,"Jokowi"
"3","@jokowi @sbyudhoyono @prabowo

mantab @faizalassegaf sdh seharusnya setiap kekeliruan/kekurangan diluruskan/dikriti<U+2026> https://t.co/UAfAGYOAco",FALSE,0,"jokowi",2018-04-16 04:58:15,TRUE,NA,"985744153995657216","366987179","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>","ndorobbs",0,FALSE,FALSE,NA,NA,"Jokowi"
"4","@akbar_purnomoo @habibthink @jokowi Dia sih MANTAN menteri, bukan menteri",FALSE,0,"akbar_purnomoo",2018-04-16 04:58:12,FALSE,"985714421157670912","985744141463126016","938658161027715072","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RadPlague",0,FALSE,FALSE,NA,NA,"Jokowi"
"5","RT @faizalassegaf: Selama tiga tahun lebih saya &amp; @progres_98 hajar pak @jokowi dgn kritikan keras, hasilnya kami berkesimpulan:

1. JKW pr<U+2026>",FALSE,0,NA,2018-04-16 04:58:11,FALSE,NA,"985744138682359808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lastjoejeff",524,TRUE,FALSE,NA,NA,"Jokowi"
"6","RT @Twitparulian: Bpk @jokowi menuntut hasil kinerja, tp kinerja bpk dan @menpangoid tdk sanggub menuntaskn dgn CEPAT @BidanPTTBersatu 35+ .",FALSE,0,NA,2018-04-16 04:58:06,FALSE,NA,"985744118247604225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nurhaya49658281",14,TRUE,FALSE,NA,NA,"Jokowi"
"7","RT @Twitparulian: Pk @jokowi dmn bukti kinerja bpk brhsil menuntaskn honorer &amp; @BidanPTTBersatu 35+ ? knp presdn SBY mampu cpt menuntsknnya<U+2026>",FALSE,0,NA,2018-04-16 04:58:04,FALSE,NA,"985744108542083074",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nurhaya49658281",4,TRUE,FALSE,NA,NA,"Jokowi"
"8","@emily_anatasya @zarazettirazr @jokowi Kasihan pak presiden, elektabilitasnya melorot karena cebong2nya rajin mengg<U+2026> https://t.co/Linqgg7zcV",FALSE,0,"emily_anatasya",2018-04-16 04:58:03,TRUE,"985528903358824448","985744106356785152","949169076122742784","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IdhamR78",0,FALSE,FALSE,NA,NA,"Jokowi"
"9","RT @JhdMedsos: @MbahUyok Dulu indonesia hanya sebuah pulau kecil.....@jokowi lah yg membuat Indonesia seluas sekarang wkwkwkwk",FALSE,0,NA,2018-04-16 04:57:55,FALSE,NA,"985744072995323905",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter for Android Sign-Up</a>","MbahUyok",1,TRUE,FALSE,NA,NA,"Jokowi"
"10","@ronavioleta @jokowi Di Kutabumi tangerang, ritel Giant dan Sabar Subur malah tutup. Pdhl sabar subur adalah mini m<U+2026> https://t.co/RmFlrT2vfl",FALSE,0,"ronavioleta",2018-04-16 04:57:53,TRUE,"884927407412486144","985744061049929729","485385284","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mister_sidik",0,FALSE,FALSE,NA,NA,"Jokowi"
