"carat","cut","color","clarity","depth","table","price","x","y","z"
0.62,"Ideal","D","VS2",61.2,56,2243,5.49,5.52,3.37
0.41,"Ideal","E","VS2",62.3,54,875,4.74,4.8,2.97
0.55,"Ideal","D","VS2",61.7,57,1848,5.21,5.26,3.23
0.51,"Ideal","D","VVS2",61.3,57,2742,5.17,5.14,3.16
0.41,"Premium","E","VS1",60,58,1153,4.83,4.8,2.89
0.49,"Premium","G","VS2",59.8,59,1240,5.16,5.14,3.08
0.72,"Very Good","F","VS1",62.2,57,3229,5.7,5.74,3.56
0.8,"Ideal","I","VVS1",61.7,56,3181,5.98,5.92,3.67
0.32,"Ideal","G","VVS2",62,55,730,4.4,4.44,2.74
0.31,"Very Good","G","VVS2",62.6,57,707,4.29,4.33,2.7
1.22,"Ideal","E","SI2",62.8,54,4974,6.78,6.75,4.25
0.71,"Premium","F","SI1",62.3,60,2458,5.68,5.65,3.53
0.53,"Ideal","F","VS1",61.6,55,1740,5.24,5.21,3.22
0.38,"Ideal","G","VS2",60.6,57,955,4.7,4.73,2.86
0.35,"Premium","H","VVS2",61.9,58,706,4.5,4.54,2.8
0.37,"Ideal","H","VS2",60.7,58,603,4.64,4.68,2.83
1.51,"Premium","H","SI1",62,58,9511,7.38,7.34,4.56
0.9,"Good","H","VS1",62.4,55,4409,6.09,6.16,3.82
1.2,"Ideal","I","I1",61.9,56,3570,6.85,6.82,4.23
0.32,"Good","G","VS2",63.3,54,561,4.36,4.39,2.77
0.3,"Very Good","H","VVS2",61,61,605,4.3,4.32,2.63
1.2,"Ideal","J","SI1",62.5,55,4536,6.84,6.79,4.26
0.76,"Ideal","F","VVS2",60.9,57,3716,5.89,5.96,3.61
0.33,"Very Good","G","VVS1",61.2,57,795,4.47,4.5,2.74
0.72,"Premium","I","SI1",62,52,1922,5.71,5.67,3.53
0.41,"Very Good","E","SI2",62.8,58,638,4.69,4.73,2.96
1,"Very Good","H","SI1",61.8,57,4995,6.39,6.42,3.96
0.44,"Very Good","F","SI1",62.8,59,829,4.88,4.91,3.07
0.66,"Very Good","G","VVS2",60.5,59,2211,5.67,5.72,3.44
1.27,"Ideal","J","VS1",62,57,5008,6.96,6.92,4.3
0.37,"Ideal","E","VS2",61.5,56,1041,4.62,4.59,2.83
0.41,"Ideal","E","VVS2",62.5,57,1082,4.76,4.71,2.96
1.5,"Premium","D","SI2",60.5,59,10206,7.37,7.27,4.43
0.33,"Premium","H","VVS1",61.4,59,965,4.44,4.42,2.72
0.67,"Premium","H","VVS2",60.6,61,2171,5.65,5.61,3.41
0.7,"Good","H","VVS2",64.3,60,2355,5.59,5.55,3.58
0.63,"Premium","F","SI1",60.9,56,1736,5.58,5.56,3.39
1.05,"Ideal","J","SI2",61.3,56,4364,6.56,6.59,4.03
0.32,"Ideal","H","SI2",61.4,56,420,4.4,4.43,2.71
0.62,"Very Good","E","SI2",58.8,63,1624,5.58,5.61,3.29
0.72,"Good","F","VS1",63.8,58,3002,5.68,5.63,3.61
0.93,"Premium","F","SI1",62.3,59,5729,6.25,6.21,3.88
0.41,"Very Good","D","VVS2",61.2,62,1295,4.78,4.82,2.94
1.02,"Very Good","E","SI2",62.9,56,4398,6.36,6.43,4.02
0.92,"Ideal","H","SI1",60.5,57,4325,6.27,6.32,3.81
1.38,"Good","J","SI2",63.7,58,4598,7.06,7.01,4.48
1.23,"Premium","F","VS1",61.3,60,9489,6.94,6.9,4.24
1.02,"Good","D","SI1",56.9,62,4948,6.64,6.69,3.79
0.8,"Premium","F","SI2",61.7,58,2762,5.98,5.94,3.68
0.53,"Ideal","H","SI1",62,54,1205,5.17,5.22,3.22
0.32,"Ideal","H","VS2",61.3,56,523,4.42,4.45,2.72
1.06,"Ideal","G","VS1",61.6,56,7594,6.53,6.57,4.04
0.41,"Ideal","E","VS2",61.8,57,935,4.76,4.78,2.95
0.7,"Very Good","H","IF",62.8,56,2882,5.62,5.65,3.54
0.3,"Ideal","F","VS2",62.7,57,776,4.31,4.27,2.69
1.14,"Premium","G","SI1",62.3,59,5548,6.66,6.69,4.16
0.31,"Ideal","G","IF",61.8,56,891,4.33,4.37,2.69
1.51,"Ideal","F","VS2",62.2,53,13771,7.35,7.31,4.56
1.51,"Premium","H","SI2",62.3,62,7018,7.32,7.21,4.51
0.92,"Very Good","F","SI1",63.8,56,3920,6.12,6.17,3.92
1.01,"Very Good","G","SI1",62.9,61,4588,6.36,6.4,4.01
0.9,"Very Good","J","VS2",63.5,56,3145,6.12,6.1,3.88
0.23,"Ideal","F","VVS2",61.4,57,538,3.96,3.99,2.44
0.32,"Ideal","E","VVS2",62.3,55,890,4.37,4.4,2.73
0.31,"Ideal","G","VVS1",62.5,57,816,4.31,4.36,2.71
0.35,"Ideal","I","VVS2",61.5,55,598,4.56,4.58,2.81
1,"Premium","F","SI1",60.3,61,4704,6.43,6.38,3.86
1.11,"Ideal","E","VS2",62.2,56,7326,6.59,6.66,4.12
